#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
MCPsignal            PF00015.22   172 WP_089172634         -            662     1e-56  191.5  45.1   1   1   1.9e-58   6.8e-55  185.5  20.6     3   171   431   613   429   614 0.98 Methyl-accepting chemotaxis protein (MCP) signalling domain
dCache_1             PF02743.19   243 WP_089172634         -            662   1.4e-28  100.1   0.5   1   1   3.7e-32   1.4e-28  100.1   0.5    11   242    52   266    44   267 0.82 Cache domain
HAMP                 PF00672.26    53 WP_089172634         -            662   2.1e-18   66.4   0.2   1   1   5.9e-21   2.1e-17   63.2   0.0     1    52   301   352   301   353 0.98 HAMP domain
Cache_3-Cache_2      PF17201.5    292 WP_089172634         -            662   1.3e-13   50.9   3.2   1   1   3.6e-17   1.3e-13   50.9   3.2   174   290   181   281   167   283 0.93 Cache 3/Cache 2 fusion domain
dCache_2             PF08269.12   296 WP_089172634         -            662     2e-07   30.5   1.9   1   1   5.4e-11     2e-07   30.5   1.9   189   295   185   273   163   274 0.79 Cache domain
MCPsignal            PF00015.22   172 WP_133954388         -            662   1.3e-56  191.1  44.9   1   1   2.5e-58   9.1e-55  185.1  20.3     3   171   431   613   429   614 0.98 Methyl-accepting chemotaxis protein (MCP) signalling domain
dCache_1             PF02743.19   243 WP_133954388         -            662   1.4e-28  100.1   0.5   1   1   3.7e-32   1.4e-28  100.1   0.5    11   242    52   266    44   267 0.82 Cache domain
HAMP                 PF00672.26    53 WP_133954388         -            662   2.1e-18   66.4   0.2   1   1   5.9e-21   2.1e-17   63.2   0.0     1    52   301   352   301   353 0.98 HAMP domain
Cache_3-Cache_2      PF17201.5    292 WP_133954388         -            662   1.3e-13   50.9   3.2   1   1   3.6e-17   1.3e-13   50.9   3.2   174   290   181   281   167   283 0.93 Cache 3/Cache 2 fusion domain
dCache_2             PF08269.12   296 WP_133954388         -            662     2e-07   30.5   1.9   1   1   5.4e-11     2e-07   30.5   1.9   189   295   185   273   163   274 0.79 Cache domain
